market,origin,dest,OriginAirport,DestinationAirport,market_key
DXB-SVO,DXB,SVO,68682240,320212736,68682240-320212736
NRT-CDG,NRT,CDG,236065792,50595584,236065792-50595584
LAX-ORD,LAX,ORD,201398272,252838912,201398272-252838912
YVR-LAX,YVR,LAX,420876800,201398272,420876800-201398272
JED-IST,JED,IST,168100864,152245248,168100864-152245248
JFK-FCO,JFK,FCO,168168192,100863744,168168192-100863744
XNB-MNL,XNB,MNL,403571200,219024384,403571200-219024384
LHR-ORY,LHR,ORY,201855488,252844288,201855488-252844288
LIS-GRU,LIS,GRU,201921280,118625536,201921280-118625536
LGW-FCO,LGW,FCO,201791232,100863744,201791232-100863744
LGW-JED,LGW,JED,201791232,168100864,201791232-168100864
TPE-PVG,TPE,PVG,336594176,269879040,336594176-269879040
MCO-LGA,MCO,LGA,218304256,201785600,218304256-201785600
YVR-HKG,YVR,HKG,420876800,134940416,420876800-134940416
LCY-LIS,LCY,LIS,201529600,201921280,201529600-201921280
SJC-SAN,SJC,SAN,319423232,318836224,319423232-318836224
ITM-HAN,ITM,HAN,152308992,134286848,152308992-134286848
TLV-MAD,TLV,MAD,336336384,218170368,336336384-218170368
LHR-ARN,LHR,ARN,201855488,17960448,201855488-17960448
ZRH-BKK,ZRH,BKK,437389312,34278144,437389312-34278144
SYD-DEL,SYD,DEL,320406528,67439616,320406528-67439616
MAD-AMS,MAD,AMS,218170368,17634048,218170368-17634048
MCO-JFK,MCO,JFK,218304256,168168192,218304256-168168192
LGA-LGW,LGA,LGW,201785600,201791232,201785600-201791232
LHR-MRU,LHR,MRU,201855488,219288832,201855488-219288832
MNL-HND,MNL,HND,219024384,135136256,219024384-135136256
MAN-DXB,MAN,DXB,218172928,68682240,218172928-68682240
JFK-ONT,JFK,ONT,168168192,252580864,168168192-252580864
KUL-LHR,KUL,LHR,185928704,201855488,185928704-201855488
SFO-LAS,SFO,LAS,319164160,201396992,319164160-201396992
LHR-COK,LHR,COK,201855488,51317504,201855488-51317504
SIN-LGW,SIN,LGW,319360512,201791232,319360512-201791232
JFK-MCO,JFK,MCO,168168192,218304256,168168192-218304256
ICN-CEB,ICN,CEB,151195136,50659840,151195136-50659840
BKK-MNL,BKK,MNL,34278144,219024384,34278144-219024384
JFK-PBI,JFK,PBI,168168192,268568832,168168192-268568832
GRU-LIS,GRU,LIS,118625536,201921280,118625536-201921280
BOM-XNB,BOM,XNB,34540800,403571200,34540800-403571200
KWI-CAI,KWI,CAI,186059008,50399488,186059008-50399488
LHR-CAI,LHR,CAI,201855488,50399488,201855488-50399488
ONT-JFK,ONT,JFK,252580864,168168192,252580864-168168192
HKG-LAX,HKG,LAX,134940416,201398272,134940416-201398272
ICN-KIX,ICN,KIX,151195136,185145344,151195136-185145344
LCY-HKG,LCY,HKG,201529600,134940416,201529600-134940416
TPE-ICN,TPE,ICN,336594176,151195136,336594176-151195136
VKO-TLV,VKO,TLV,369823488,336336384,369823488-336336384
SIN-GMP,SIN,GMP,319360512,118296576,319360512-118296576
HKG-YYZ,HKG,YYZ,134940416,421075456,134940416-421075456
SYD-LHR,SYD,LHR,320406528,201855488,320406528-201855488
TPE-NRT,TPE,NRT,336594176,236065792,336594176-236065792
ORY-BKK,ORY,BKK,252844288,34278144,252844288-34278144
HKG-SIN,HKG,SIN,134940416,319360512,134940416-319360512
SIN-SYD,SIN,SYD,319360512,320406528,319360512-320406528
ICN-SYD,ICN,SYD,151195136,320406528,151195136-320406528
IST-DXB,IST,DXB,152245248,68682240,152245248-68682240
LGA-YYZ,LGA,YYZ,201785600,421075456,201785600-421075456
LGA-MCO,LGA,MCO,201785600,218304256,201785600-218304256
PBI-EWR,PBI,EWR,268568832,85398016,268568832-85398016
MAD-LHR,MAD,LHR,218170368,201855488,218170368-201855488
LHR-AMD,LHR,AMD,201855488,17630208,201855488-17630208
HKG-MNL,HKG,MNL,134940416,219024384,134940416-219024384
SIN-NRT,SIN,NRT,319360512,236065792,319360512-236065792
CAI-KWI,CAI,KWI,50399488,186059008,50399488-186059008
YYZ-LGW,YYZ,LGW,421075456,201791232,421075456-201791232
BKK-FRA,BKK,FRA,34278144,101843200,34278144-101843200
HKG-HND,HKG,HND,134940416,135136256,134940416-135136256
DEL-XNB,DEL,XNB,67439616,403571200,67439616-403571200
TLV-IST,TLV,IST,336336384,152245248,336336384-152245248
BKK-URT,BKK,URT,34278144,353506304,34278144-353506304
LHR-HKT,LHR,HKT,201855488,134943744,201855488-134943744
HAN-ICN,HAN,ICN,134286848,151195136,134286848-151195136
LGW-YYZ,LGW,YYZ,201791232,421075456,201791232-421075456
TPE-LAX,TPE,LAX,336594176,201398272,336594176-201398272
GMP-SGN,GMP,SGN,118296576,319229440,118296576-319229440
SIN-STN,SIN,STN,319360512,320081408,319360512-320081408
ICN-KUL,ICN,KUL,151195136,185928704,151195136-185928704
SZB-LGK,SZB,LGK,320471552,201788160,320471552-201788160
NRT-TPE,NRT,TPE,236065792,336594176,236065792-336594176
SJC-LAS,SJC,LAS,319423232,201396992,319423232-201396992
SZB-XSP,SZB,XSP,320471552,403902464,320471552-403902464
LHR-AKL,LHR,AKL,201855488,17501184,201855488-17501184
DAD-ICN,DAD,ICN,67175424,151195136,67175424-151195136
YYZ-EWR,YYZ,EWR,421075456,85398016,421075456-85398016
TLV-ORY,TLV,ORY,336336384,252844288,336336384-252844288
JFK-MAD,JFK,MAD,168168192,218170368,168168192-218170368
NRT-LAX,NRT,LAX,236065792,201398272,236065792-201398272
LGW-LGA,LGW,LGA,201791232,201785600,201791232-201785600
LAX-HKG,LAX,HKG,201398272,134940416,201398272-134940416
KUL-BKI,KUL,BKI,185928704,34277632,185928704-34277632
LGA-SNA,LGA,SNA,201785600,319684864,201785600-319684864
CAI-IST,CAI,IST,50399488,152245248,50399488-152245248
BKK-ITM,BKK,ITM,34278144,152308992,34278144-152308992
KUL-STN,KUL,STN,185928704,320081408,185928704-320081408
LHR-NBO,LHR,NBO,201855488,235015936,201855488-235015936
LED-AYT,LED,AYT,201655296,18420736,201655296-18420736
IST-CDG,IST,CDG,152245248,50595584,152245248-50595584
LHR-GOI,LHR,GOI,201855488,118425856,201855488-118425856
LGA-CDG,LGA,CDG,201785600,50595584,201785600-50595584
SIN-MAA,SIN,MAA,319360512,218169600,319360512-218169600
LHR-MAA,LHR,MAA,201855488,218169600,201855488-218169600
IST-XNB,IST,XNB,152245248,403571200,152245248-403571200
JED-SAW,JED,SAW,168100864,318838528,168100864-318838528
FRA-ICN,FRA,ICN,101843200,151195136,101843200-151195136
MAN-LHE,MAN,LHE,218172928,201852160,218172928-201852160
SAW-TLV,SAW,TLV,318838528,336336384,318838528-336336384
LHR-ORD,LHR,ORD,201855488,252838912,201855488-252838912
LHR-PER,LHR,PER,201855488,268767744,201855488-268767744
TLV-MXP,TLV,MXP,336336384,219680768,336336384-219680768
EWR-SAN,EWR,SAN,85398016,318836224,85398016-318836224
TLV-VKO,TLV,VKO,336336384,369823488,336336384-369823488
LHR-YVR,LHR,YVR,201855488,420876800,201855488-420876800
FCO-CDG,FCO,CDG,100863744,50595584,100863744-50595584
LAX-CDG,LAX,CDG,201398272,50595584,201398272-50595584
SFO-LHR,SFO,LHR,319164160,201855488,319164160-201855488
ORD-MIA,ORD,MIA,252838912,218693888,252838912-218693888
BOM-EWR,BOM,EWR,34540800,85398016,34540800-85398016
CDG-HKG,CDG,HKG,50595584,134940416,50595584-134940416
JFK-SAN,JFK,SAN,168168192,318836224,168168192-318836224
TLV-BUD,TLV,BUD,336336384,34931712,336336384-34931712
LHR-AUH,LHR,AUH,201855488,18155520,201855488-18155520
EWR-FCO,EWR,FCO,85398016,100863744,85398016-100863744
STN-AYT,STN,AYT,320081408,18420736,320081408-18420736
PVG-LAX,PVG,LAX,269879040,201398272,269879040-201398272
MAA-LHR,MAA,LHR,218169600,201855488,218169600-201855488
HND-SIN,HND,SIN,135136256,319360512,135136256-319360512
EWR-PBI,EWR,PBI,85398016,268568832,85398016-268568832
SYD-AKL,SYD,AKL,320406528,17501184,320406528-17501184
STN-IST,STN,IST,320081408,152245248,320081408-152245248
FLL-LGA,FLL,LGA,101452800,201785600,101452800-201785600
FRA-BKK,FRA,BKK,101843200,34278144,101843200-34278144
MNL-ICN,MNL,ICN,219024384,151195136,219024384-151195136
YYZ-LHR,YYZ,LHR,421075456,201855488,421075456-201855488
KWI-IST,KWI,IST,186059008,152245248,186059008-152245248
MNL-DXB,MNL,DXB,219024384,68682240,219024384-68682240
SFO-ONT,SFO,ONT,319164160,252580864,319164160-252580864
STN-HKG,STN,HKG,320081408,134940416,320081408-134940416
UTH-BKK,UTH,BKK,353634304,34278144,353634304-34278144
JFK-ORY,JFK,ORY,168168192,252844288,168168192-252844288
DME-GYD,DME,GYD,67962112,119079936,67962112-119079936
ICN-HND,ICN,HND,151195136,135136256,151195136-135136256
SFO-LGA,SFO,LGA,319164160,201785600,319164160-201785600
JFK-SFO,JFK,SFO,168168192,319164160,168168192-319164160
BLR-DEL,BLR,DEL,34345472,67439616,34345472-67439616
SFO-BUR,SFO,BUR,319164160,34935296,319164160-34935296
LAX-HNL,LAX,HNL,201398272,135138304,201398272-135138304
LHR-ICN,LHR,ICN,201855488,151195136,201855488-151195136
HKG-NRT,HKG,NRT,134940416,236065792,134940416-236065792
EWR-SFO,EWR,SFO,85398016,319164160,85398016-319164160
HKG-JFK,HKG,JFK,134940416,168168192,134940416-168168192
ORY-EWR,ORY,EWR,252844288,85398016,252844288-85398016
LGW-MAD,LGW,MAD,201791232,218170368,201791232-218170368
SIN-LCY,SIN,LCY,319360512,201529600,319360512-201529600
SIN-MEL,SIN,MEL,319360512,218434560,319360512-218434560
DME-AER,DME,AER,67962112,17109504,67962112-17109504
MNL-LHR,MNL,LHR,219024384,201855488,219024384-201855488
SAW-LGW,SAW,LGW,318838528,201791232,318838528-201791232
ORD-JFK,ORD,JFK,252838912,168168192,252838912-168168192
TPE-MNL,TPE,MNL,336594176,219024384,336594176-219024384
LAX-NRT,LAX,NRT,201398272,236065792,201398272-236065792
DUS-SAW,DUS,SAW,68489984,318838528,68489984-318838528
ATL-LGA,ATL,LGA,18091008,201785600,18091008-201785600
JFK-BUR,JFK,BUR,168168192,34935296,168168192-34935296
SYD-BNE,SYD,BNE,320406528,34473216,320406528-34473216
EWR-YTZ,EWR,YTZ,85398016,420747776,85398016-420747776
SIN-HAN,SIN,HAN,319360512,134286848,319360512-134286848
BNE-SYD,BNE,SYD,34473216,320406528,34473216-320406528
LGB-HNL,LGB,HNL,201785856,135138304,201785856-135138304
LHR-CDG,LHR,CDG,201855488,50595584,201855488-50595584
LHR-JED,LHR,JED,201855488,168100864,201855488-168100864
MAD-EZE,MAD,EZE,218170368,85591296,218170368-85591296
CDG-IST,CDG,IST,50595584,152245248,50595584-152245248
JFK-ORD,JFK,ORD,168168192,252838912,168168192-252838912
OAK-LAS,OAK,LAS,251726592,201396992,251726592-201396992
SYD-HKG,SYD,HKG,320406528,134940416,320406528-134940416
GMP-MNL,GMP,MNL,118296576,219024384,118296576-219024384
HYD-DXB,HYD,DXB,135857152,68682240,135857152-68682240
TLV-FCO,TLV,FCO,336336384,100863744,336336384-100863744
ORY-IST,ORY,IST,252844288,152245248,252844288-152245248
MNL-KUL,MNL,KUL,219024384,185928704,219024384-185928704
HKG-SFO,HKG,SFO,134940416,319164160,134940416-319164160
LGW-MEL,LGW,MEL,201791232,218434560,201791232-218434560
ICN-BCN,ICN,BCN,151195136,33754624,151195136-33754624
MEL-AKL,MEL,AKL,218434560,17501184,218434560-17501184
LGW-LIS,LGW,LIS,201791232,201921280,201791232-201921280
LIS-LGW,LIS,LGW,201921280,201791232,201921280-201791232
URT-BKK,URT,BKK,353506304,34278144,353506304-34278144
HND-TPE,HND,TPE,135136256,336594176,135136256-336594176
LAX-ICN,LAX,ICN,201398272,151195136,201398272-151195136
SIN-DEL,SIN,DEL,319360512,67439616,319360512-67439616
MAN-EWR,MAN,EWR,218172928,85398016,218172928-85398016
OPO-ORY,OPO,ORY,252710656,252844288,252710656-252844288
MAD-LIS,MAD,LIS,218170368,201921280,218170368-201921280
LGA-LAS,LGA,LAS,201785600,201396992,201785600-201396992
ORY-YUL,ORY,YUL,252844288,420809728,252844288-420809728
COK-DXB,COK,DXB,51317504,68682240,51317504-68682240
TLV-STN,TLV,STN,336336384,320081408,336336384-320081408
LHR-FCO,LHR,FCO,201855488,100863744,201855488-100863744
DMK-CEI,DMK,CEI,67963648,50661632,67963648-50661632
GYD-DXB,GYD,DXB,119079936,68682240,119079936-68682240
LGW-TLV,LGW,TLV,201791232,336336384,201791232-336336384
SUB-SIN,SUB,SIN,320143872,319360512,320143872-319360512
YVR-DEL,YVR,DEL,420876800,67439616,420876800-67439616
MNL-SGN,MNL,SGN,219024384,319229440,219024384-319229440
YTZ-LHR,YTZ,LHR,420747776,201855488,420747776-201855488
SEA-LGA,SEA,LGA,319095040,201785600,319095040-201785600
CDG-TLV,CDG,TLV,50595584,336336384,50595584-336336384
EWR-LIS,EWR,LIS,85398016,201921280,85398016-201921280
BCN-CDG,BCN,CDG,33754624,50595584,33754624-50595584
SYD-SGN,SYD,SGN,320406528,319229440,320406528-319229440
SEA-SNA,SEA,SNA,319095040,319684864,319095040-319684864
LAS-OAK,LAS,OAK,201396992,251726592,201396992-251726592
DUB-EWR,DUB,EWR,68485632,85398016,68485632-85398016
DME-FRU,DME,FRU,67962112,101848320,67962112-101848320
LGA-MAD,LGA,MAD,201785600,218170368,201785600-218170368
GYD-IST,GYD,IST,119079936,152245248,119079936-152245248
LAS-SJC,LAS,SJC,201396992,319423232,201396992-319423232
SAN-SFO,SAN,SFO,318836224,319164160,318836224-319164160
EWR-TLV,EWR,TLV,85398016,336336384,85398016-336336384
YVR-YYC,YVR,YYC,420876800,421069568,420876800-421069568
STN-JED,STN,JED,320081408,168100864,320081408-168100864
IST-DUS,IST,DUS,152245248,68489984,152245248-68489984
LGW-ICN,LGW,ICN,201791232,151195136,201791232-151195136
BCN-MAD,BCN,MAD,33754624,218170368,33754624-218170368
SJC-SEA,SJC,SEA,319423232,319095040,319423232-319095040
NRT-SIN,NRT,SIN,236065792,319360512,236065792-319360512
SIN-HND,SIN,HND,319360512,135136256,319360512-135136256
YYZ-YVR,YYZ,YVR,421075456,420876800,421075456-420876800
LHR-XNB,LHR,XNB,201855488,403571200,201855488-403571200
MAD-LGW,MAD,LGW,218170368,201791232,218170368-201791232
MEL-DEL,MEL,DEL,218434560,67439616,218434560-67439616
DPS-SIN,DPS,SIN,68162304,319360512,68162304-319360512
NRT-SGN,NRT,SGN,236065792,319229440,236065792-319229440
LHR-MCO,LHR,MCO,201855488,218304256,201855488-218304256
MXP-LGA,MXP,LGA,219680768,201785600,219680768-201785600
VCP-LIS,VCP,LIS,369299456,201921280,369299456-201921280
SNA-LAS,SNA,LAS,319684864,201396992,319684864-201396992
PBI-JFK,PBI,JFK,268568832,168168192,268568832-168168192
EWR-LGW,EWR,LGW,85398016,201791232,85398016-201791232
DMK-UTH,DMK,UTH,67963648,353634304,67963648-353634304
MAD-CDG,MAD,CDG,218170368,50595584,218170368-50595584
ICN-LGW,ICN,LGW,151195136,201791232,151195136-201791232
MAD-ORY,MAD,ORY,218170368,252844288,218170368-252844288
BLR-BOM,BLR,BOM,34345472,34540800,34345472-34540800
AKL-SYD,AKL,SYD,17501184,320406528,17501184-320406528
EWR-ORY,EWR,ORY,85398016,252844288,85398016-252844288
LCY-SIN,LCY,SIN,201529600,319360512,201529600-319360512
BOM-LCY,BOM,LCY,34540800,201529600,34540800-201529600
HKG-EWR,HKG,EWR,134940416,85398016,134940416-85398016
BKK-JFK,BKK,JFK,34278144,168168192,34278144-168168192
LCY-JFK,LCY,JFK,201529600,168168192,201529600-168168192
SAW-LHR,SAW,LHR,318838528,201855488,318838528-201855488
LGA-PBI,LGA,PBI,201785600,268568832,201785600-268568832
MEL-ADL,MEL,ADL,218434560,17042432,218434560-17042432
ICN-LAX,ICN,LAX,151195136,201398272,151195136-201398272
MAD-JFK,MAD,JFK,218170368,168168192,218170368-168168192
PNH-BKK,PNH,BKK,269355008,34278144,269355008-34278144
TLV-SAW,TLV,SAW,336336384,318838528,336336384-318838528
HKG-MAN,HKG,MAN,134940416,218172928,134940416-218172928
DME-MLE,DME,MLE,67962112,218891520,67962112-218891520
CGK-DMK,CGK,DMK,50793216,67963648,50793216-67963648
LHR-TLV,LHR,TLV,201855488,336336384,201855488-336336384
DXB-IST,DXB,IST,68682240,152245248,68682240-152245248
YYZ-LGA,YYZ,LGA,421075456,201785600,421075456-201785600
KUL-ICN,KUL,ICN,185928704,151195136,185928704-151195136
SNA-LGA,SNA,LGA,319684864,201785600,319684864-201785600
ONT-LGA,ONT,LGA,252580864,201785600,252580864-201785600
LHR-MIA,LHR,MIA,201855488,218693888,201855488-218693888
EVN-VKO,EVN,VKO,85331456,369823488,85331456-369823488
DME-TLV,DME,TLV,67962112,336336384,67962112-336336384
DEL-BLR,DEL,BLR,67439616,34345472,67439616-34345472
DEL-SIN,DEL,SIN,67439616,319360512,67439616-319360512
HKG-SYD,HKG,SYD,134940416,320406528,134940416-320406528
MAD-EWR,MAD,EWR,218170368,85398016,218170368-85398016
TPE-HKG,TPE,HKG,336594176,134940416,336594176-134940416
ICN-JFK,ICN,JFK,151195136,168168192,151195136-168168192
CGK-BKK,CGK,BKK,50793216,34278144,50793216-34278144
MIA-JFK,MIA,JFK,218693888,168168192,218693888-168168192
LGW-SAW,LGW,SAW,201791232,318838528,201791232-318838528
SIN-HKT,SIN,HKT,319360512,134943744,319360512-134943744
ICN-GUM,ICN,GUM,151195136,118820096,151195136-118820096
DEL-YYZ,DEL,YYZ,67439616,421075456,67439616-421075456
KUL-DMK,KUL,DMK,185928704,67963648,185928704-67963648
LGW-SIN,LGW,SIN,201791232,319360512,201791232-319360512
SIN-LHR,SIN,LHR,319360512,201855488,319360512-201855488
MIA-LGA,MIA,LGA,218693888,201785600,218693888-201785600
HAN-BKK,HAN,BKK,134286848,34278144,134286848-34278144
LHR-NRT,LHR,NRT,201855488,236065792,201855488-236065792
DME-HKT,DME,HKT,67962112,134943744,67962112-134943744
DME-BKK,DME,BKK,67962112,34278144,67962112-34278144
VKO-GYD,VKO,GYD,369823488,119079936,369823488-119079936
NRT-HAN,NRT,HAN,236065792,134286848,236065792-134286848
FLL-EWR,FLL,EWR,101452800,85398016,101452800-85398016
LAX-LAS,LAX,LAS,201398272,201396992,201398272-201396992
SNA-JFK,SNA,JFK,319684864,168168192,319684864-168168192
JFK-CDG,JFK,CDG,168168192,50595584,168168192-50595584
SGN-ICN,SGN,ICN,319229440,151195136,319229440-151195136
JFK-FLL,JFK,FLL,168168192,101452800,168168192-101452800
BKK-STN,BKK,STN,34278144,320081408,34278144-320081408
IST-LHR,IST,LHR,152245248,201855488,152245248-201855488
CNX-DMK,CNX,DMK,51255296,67963648,51255296-67963648
BLR-LHR,BLR,LHR,34345472,201855488,34345472-201855488
SFO-HNL,SFO,HNL,319164160,135138304,319164160-135138304
LAX-MEX,LAX,MEX,201398272,218437632,201398272-218437632
LGW-ORY,LGW,ORY,201791232,252844288,201791232-252844288
LGW-AYT,LGW,AYT,201791232,18420736,201791232-18420736
DME-DEL,DME,DEL,67962112,67439616,67962112-67439616
LGW-HKT,LGW,HKT,201791232,134943744,201791232-134943744
MEX-JFK,MEX,JFK,218437632,168168192,218437632-168168192
DPS-BKK,DPS,BKK,68162304,34278144,68162304-34278144
LIN-IST,LIN,IST,201920000,152245248,201920000-152245248
YTZ-EWR,YTZ,EWR,420747776,85398016,420747776-85398016
SEA-JFK,SEA,JFK,319095040,168168192,319095040-168168192
LHR-DUB,LHR,DUB,201855488,68485632,201855488-68485632
KIX-GMP,KIX,GMP,185145344,118296576,185145344-118296576
DUB-LCY,DUB,LCY,68485632,201529600,68485632-201529600
EWR-SEA,EWR,SEA,85398016,319095040,85398016-319095040
SYD-LGW,SYD,LGW,320406528,201791232,320406528-201791232
DEL-SXR,DEL,SXR,67439616,320344576,67439616-320344576
BCN-PMI,BCN,PMI,33754624,269289728,33754624-269289728
ITM-ICN,ITM,ICN,152308992,151195136,152308992-151195136
JFK-SEA,JFK,SEA,168168192,319095040,168168192-319095040
ISB-LHR,ISB,LHR,152240640,201855488,152240640-201855488
LAX-LGW,LAX,LGW,201398272,201791232,201398272-201791232
MAA-SIN,MAA,SIN,218169600,319360512,218169600-319360512
LHR-CPT,LHR,CPT,201855488,51385344,201855488-51385344
SIN-HKG,SIN,HKG,319360512,134940416,319360512-134940416
SEA-EWR,SEA,EWR,319095040,85398016,319095040-85398016
LGW-CAI,LGW,CAI,201791232,50399488,201791232-50399488
STR-IST,STR,IST,320082432,152245248,320082432-152245248
LHR-CUN,LHR,CUN,201855488,51711488,201855488-51711488
