market,origin,dest,OriginAirport,DestinationAirport,market_key
LAX-OAK,LAX,OAK,201398272,251726592,201398272-251726592
IST-LGW,IST,LGW,152245248,201791232,152245248-201791232
LCY-DEL,LCY,DEL,201529600,67439616,201529600-67439616
HKG-TPE,HKG,TPE,134940416,336594176,134940416-336594176
EWR-CDG,EWR,CDG,85398016,50595584,85398016-50595584
DXB-LCY,DXB,LCY,68682240,201529600,68682240-201529600
MEL-OOL,MEL,OOL,218434560,252644352,218434560-252644352
DMK-HDY,DMK,HDY,67963648,134486272,67963648-134486272
DXB-DEL,DXB,DEL,68682240,67439616,68682240-67439616
BKK-LCY,BKK,LCY,34278144,201529600,34278144-201529600
DEL-LCY,DEL,LCY,67439616,201529600,67439616-201529600
MAD-LCY,MAD,LCY,218170368,201529600,218170368-201529600
ORY-MAD,ORY,MAD,252844288,218170368,252844288-218170368
TLV-CDG,TLV,CDG,336336384,50595584,336336384-50595584
LAS-LAX,LAS,LAX,201396992,201398272,201396992-201398272
BKK-LAX,BKK,LAX,34278144,201398272,34278144-201398272
OAK-LAX,OAK,LAX,251726592,201398272,251726592-201398272
PBI-LGA,PBI,LGA,268568832,201785600,268568832-201785600
CGK-IST,CGK,IST,50793216,152245248,50793216-152245248
BOM-BKK,BOM,BKK,34540800,34278144,34540800-34278144
GYD-VKO,GYD,VKO,119079936,369823488,119079936-369823488
HND-SGN,HND,SGN,135136256,319229440,135136256-319229440
STN-BOM,STN,BOM,320081408,34540800,320081408-34540800
BKK-SYD,BKK,SYD,34278144,320406528,34278144-320406528
SJC-LGA,SJC,LGA,319423232,201785600,319423232-201785600
LHR-BLR,LHR,BLR,201855488,34345472,201855488-34345472
ORD-LGA,ORD,LGA,252838912,201785600,252838912-201785600
TPE-SIN,TPE,SIN,336594176,319360512,336594176-319360512
DXB-SAW,DXB,SAW,68682240,318838528,68682240-318838528
LGW-ISB,LGW,ISB,201791232,152240640,201791232-152240640
GMP-CJU,GMP,CJU,118296576,50992384,118296576-50992384
OOL-MEL,OOL,MEL,252644352,218434560,252644352-218434560
SJC-EWR,SJC,EWR,319423232,85398016,319423232-85398016
BKK-CGK,BKK,CGK,34278144,50793216,34278144-50793216
BOM-BLR,BOM,BLR,34540800,34345472,34540800-34345472
SAW-DXB,SAW,DXB,318838528,68682240,318838528-68682240
DEL-DPS,DEL,DPS,67439616,68162304,67439616-68162304
STN-TLV,STN,TLV,320081408,336336384,320081408-336336384
OPO-CDG,OPO,CDG,252710656,50595584,252710656-50595584
AMS-IST,AMS,IST,17634048,152245248,17634048-152245248
DEL-CCU,DEL,CCU,67439616,50533632,67439616-50533632
MAA-DXB,MAA,DXB,218169600,68682240,218169600-68682240
LED-SAW,LED,SAW,201655296,318838528,201655296-318838528
IST-BKK,IST,BKK,152245248,34278144,152245248-34278144
LCY-NRT,LCY,NRT,201529600,236065792,201529600-236065792
MAN-HKG,MAN,HKG,218172928,134940416,218172928-134940416
LGW-KUL,LGW,KUL,201791232,185928704,201791232-185928704
GOI-DEL,GOI,DEL,118425856,67439616,118425856-67439616
XNB-SVO,XNB,SVO,403571200,320212736,403571200-320212736
CDG-DXB,CDG,DXB,50595584,68682240,50595584-68682240
DPS-ICN,DPS,ICN,68162304,151195136,68162304-151195136
AYT-SAW,AYT,SAW,18420736,318838528,18420736-318838528
ICN-IST,ICN,IST,151195136,152245248,151195136-152245248
MXP-ORY,MXP,ORY,219680768,252844288,219680768-252844288
MEL-PER,MEL,PER,218434560,268767744,218434560-268767744
LGW-COK,LGW,COK,201791232,51317504,201791232-51317504
LGA-SJC,LGA,SJC,201785600,319423232,201785600-319423232
TPE-ONT,TPE,ONT,336594176,252580864,336594176-252580864
LGA-ATL,LGA,ATL,201785600,18091008,201785600-18091008
LCY-HND,LCY,HND,201529600,135136256,201529600-135136256
CPH-LGW,CPH,LGW,51382272,201791232,51382272-201791232
DFW-JFK,DFW,JFK,67507968,168168192,67507968-168168192
CAI-RUH,CAI,RUH,50399488,303368192,50399488-303368192
LHR-KTM,LHR,KTM,201855488,185863424,201855488-185863424
PVG-YYZ,PVG,YYZ,269879040,421075456,269879040-421075456
SEA-SFO,SEA,SFO,319095040,319164160,319095040-319164160
VKO-CMB,VKO,CMB,369823488,51184128,369823488-51184128
TLV-LCY,TLV,LCY,336336384,201529600,336336384-201529600
IST-ORY,IST,ORY,152245248,252844288,152245248-252844288
TPE-HAN,TPE,HAN,336594176,134286848,336594176-134286848
SYD-ADL,SYD,ADL,320406528,17042432,320406528-17042432
LAS-BUR,LAS,BUR,201396992,34935296,201396992-34935296
PNQ-DEL,PNQ,DEL,269357312,67439616,269357312-67439616
VKO-DEL,VKO,DEL,369823488,67439616,369823488-67439616
JFK-BCN,JFK,BCN,168168192,33754624,168168192-33754624
HND-CDG,HND,CDG,135136256,50595584,135136256-50595584
BKK-SFO,BKK,SFO,34278144,319164160,34278144-319164160
LHR-LIN,LHR,LIN,201855488,201920000,201855488-201920000
VKO-TBS,VKO,TBS,369823488,335680256,369823488-335680256
LIN-ORY,LIN,ORY,201920000,252844288,201920000-252844288
HNL-LAX,HNL,LAX,135138304,201398272,135138304-201398272
CGK-DPS,CGK,DPS,50793216,68162304,50793216-68162304
HND-CGK,HND,CGK,135136256,50793216,135136256-50793216
MNL-CEB,MNL,CEB,219024384,50659840,219024384-50659840
BOM-SIN,BOM,SIN,34540800,319360512,34540800-319360512
DUB-LGW,DUB,LGW,68485632,201791232,68485632-201791232
PVG-EWR,PVG,EWR,269879040,85398016,269879040-85398016
LCY-LIN,LCY,LIN,201529600,201920000,201529600-201920000
ICN-CXR,ICN,CXR,151195136,51909120,151195136-51909120
PER-DPS,PER,DPS,268767744,68162304,268767744-68162304
BOG-MEX,BOG,MEX,34539264,218437632,34539264-218437632
SEA-OAK,SEA,OAK,319095040,251726592,319095040-251726592
HAN-SIN,HAN,SIN,134286848,319360512,134286848-319360512
ORY-BCN,ORY,BCN,252844288,33754624,252844288-33754624
BUR-SEA,BUR,SEA,34935296,319095040,34935296-319095040
KWI-DXB,KWI,DXB,186059008,68682240,186059008-68682240
BKK-MEL,BKK,MEL,34278144,218434560,34278144-218434560
HKT-CNX,HKT,CNX,134943744,51255296,134943744-51255296
MAD-AEP,MAD,AEP,218170368,17108992,218170368-17108992
LAX-SLC,LAX,SLC,201398272,319554304,201398272-319554304
DXB-JFK,DXB,JFK,68682240,168168192,68682240-168168192
CDG-MXP,CDG,MXP,50595584,219680768,50595584-219680768
SIN-CDG,SIN,CDG,319360512,50595584,319360512-50595584
ICN-ORY,ICN,ORY,151195136,252844288,151195136-252844288
PVG-BKK,PVG,BKK,269879040,34278144,269879040-34278144
LHR-HAN,LHR,HAN,201855488,134286848,201855488-134286848
ORY-DXB,ORY,DXB,252844288,68682240,252844288-68682240
LAX-BKK,LAX,BKK,201398272,34278144,201398272-34278144
MXP-LCY,MXP,LCY,219680768,201529600,219680768-201529600
MEL-SIN,MEL,SIN,218434560,319360512,218434560-319360512
SEA-ONT,SEA,ONT,319095040,252580864,319095040-252580864
MEL-LHR,MEL,LHR,218434560,201855488,218434560-201855488
DXB-CAI,DXB,CAI,68682240,50399488,68682240-50399488
SNA-HNL,SNA,HNL,319684864,135138304,319684864-135138304
HND-LAX,HND,LAX,135136256,201398272,135136256-201398272
LHR-LIS,LHR,LIS,201855488,201921280,201855488-201921280
MAD-LGA,MAD,LGA,218170368,201785600,218170368-201785600
HND-TSA,HND,TSA,135136256,336789760,135136256-336789760
LHR-SFO,LHR,SFO,201855488,319164160,201855488-319164160
TLV-JFK,TLV,JFK,336336384,168168192,336336384-168168192
BCN-JFK,BCN,JFK,33754624,168168192,33754624-168168192
TLV-BKK,TLV,BKK,336336384,34278144,336336384-34278144
FCO-EWR,FCO,EWR,100863744,85398016,100863744-85398016
SGN-MNL,SGN,MNL,319229440,219024384,319229440-219024384
LHR-AMS,LHR,AMS,201855488,17634048,201855488-17634048
LGW-DPS,LGW,DPS,201791232,68162304,201791232-68162304
LIS-LHR,LIS,LHR,201921280,201855488,201921280-201855488
FRA-IST,FRA,IST,101843200,152245248,101843200-152245248
BKK-ZRH,BKK,ZRH,34278144,437389312,34278144-437389312
CAI-DXB,CAI,DXB,50399488,68682240,50399488-68682240
HYD-DEL,HYD,DEL,135857152,67439616,135857152-67439616
DMK-KBV,DMK,KBV,67963648,184686080,67963648-184686080
PUS-BKK,PUS,BKK,269816576,34278144,269816576-34278144
CDG-SAW,CDG,SAW,50595584,318838528,50595584-318838528
LHR-CPH,LHR,CPH,201855488,51382272,201855488-51382272
BCN-EWR,BCN,EWR,33754624,85398016,33754624-85398016
CGK-SYD,CGK,SYD,50793216,320406528,50793216-320406528
MAD-BOG,MAD,BOG,218170368,34539264,218170368-34539264
LGW-LHE,LGW,LHE,201791232,201852160,201791232-201852160
LGA-SEA,LGA,SEA,201785600,319095040,201785600-319095040
EWR-DEL,EWR,DEL,85398016,67439616,85398016-67439616
IST-FRA,IST,FRA,152245248,101843200,152245248-101843200
MEL-HKG,MEL,HKG,218434560,134940416,218434560-134940416
LGW-MIA,LGW,MIA,201791232,218693888,201791232-218693888
LHR-SGN,LHR,SGN,201855488,319229440,201855488-319229440
AMS-EWR,AMS,EWR,17634048,85398016,17634048-85398016
LIS-VCP,LIS,VCP,201921280,369299456,201921280-369299456
AMS-BKK,AMS,BKK,17634048,34278144,17634048-34278144
NRT-LGW,NRT,LGW,236065792,201791232,236065792-201791232
ADL-SYD,ADL,SYD,17042432,320406528,17042432-320406528
CCJ-DXB,CCJ,DXB,50530816,68682240,50530816-68682240
BOM-AMD,BOM,AMD,34540800,17630208,34540800-17630208
ATL-MIA,ATL,MIA,18091008,218693888,18091008-218693888
BUR-OAK,BUR,OAK,34935296,251726592,34935296-251726592
LGW-HYD,LGW,HYD,201791232,135857152,201791232-135857152
IST-MXP,IST,MXP,152245248,219680768,152245248-219680768
DEL-MAA,DEL,MAA,67439616,218169600,67439616-218169600
HAN-NRT,HAN,NRT,134286848,236065792,134286848-236065792
ICN-LGA,ICN,LGA,151195136,201785600,151195136-201785600
STN-MNL,STN,MNL,320081408,219024384,320081408-219024384
DPS-SYD,DPS,SYD,68162304,320406528,68162304-320406528
DME-IST,DME,IST,67962112,152245248,67962112-152245248
VKO-IST,VKO,IST,369823488,152245248,369823488-152245248
LHR-BKK,LHR,BKK,201855488,34278144,201855488-34278144
VKO-SAW,VKO,SAW,369823488,318838528,369823488-318838528
ICN-BKK,ICN,BKK,151195136,34278144,151195136-34278144
SIN-BKK,SIN,BKK,319360512,34278144,319360512-34278144
SVO-IST,SVO,IST,320212736,152245248,320212736-152245248
BKK-ICN,BKK,ICN,34278144,151195136,34278144-151195136
DME-SAW,DME,SAW,67962112,318838528,67962112-318838528
BKK-HKT,BKK,HKT,34278144,134943744,34278144-134943744
LHR-JFK,LHR,JFK,201855488,168168192,201855488-168168192
VKO-AYT,VKO,AYT,369823488,18420736,369823488-18420736
BKK-CNX,BKK,CNX,34278144,51255296,34278144-51255296
BKK-SIN,BKK,SIN,34278144,319360512,34278144-319360512
LHR-EWR,LHR,EWR,201855488,85398016,201855488-85398016
LHR-DEL,LHR,DEL,201855488,67439616,201855488-67439616
LHR-DXB,LHR,DXB,201855488,68682240,201855488-68682240
HKG-LHR,HKG,LHR,134940416,201855488,134940416-201855488
LHR-IST,LHR,IST,201855488,152245248,201855488-152245248
IST-DME,IST,DME,152245248,67962112,152245248-67962112
LGW-JFK,LGW,JFK,201791232,168168192,201791232-168168192
DME-DXB,DME,DXB,67962112,68682240,67962112-68682240
ICN-SIN,ICN,SIN,151195136,319360512,151195136-319360512
VKO-DXB,VKO,DXB,369823488,68682240,369823488-68682240
IST-VKO,IST,VKO,152245248,369823488,152245248-369823488
LHR-CMB,LHR,CMB,201855488,51184128,201855488-51184128
MAN-IST,MAN,IST,218172928,152245248,218172928-152245248
LAX-MNL,LAX,MNL,201398272,219024384,201398272-219024384
DXB-COK,DXB,COK,68682240,51317504,68682240-51317504
EWR-BUR,EWR,BUR,85398016,34935296,85398016-34935296
DEL-JFK,DEL,JFK,67439616,168168192,67439616-168168192
PVG-TPE,PVG,TPE,269879040,336594176,269879040-336594176
HKG-MEL,HKG,MEL,134940416,218434560,134940416-218434560
ICN-HKG,ICN,HKG,151195136,134940416,151195136-134940416
LCY-CDG,LCY,CDG,201529600,50595584,201529600-50595584
YVR-YYZ,YVR,YYZ,420876800,421075456,420876800-421075456
MNL-LGW,MNL,LGW,219024384,201791232,219024384-201791232
TLV-DXB,TLV,DXB,336336384,68682240,336336384-68682240
BKK-LGA,BKK,LGA,34278144,201785600,34278144-201785600
JFK-TLV,JFK,TLV,168168192,336336384,168168192-336336384
CDG-ICN,CDG,ICN,50595584,151195136,50595584-151195136
VKO-FRU,VKO,FRU,369823488,101848320,369823488-101848320
DUB-LHR,DUB,LHR,68485632,201855488,68485632-201855488
BKI-KUL,BKI,KUL,34277632,185928704,34277632-185928704
LHR-AYT,LHR,AYT,201855488,18420736,201855488-18420736
EWR-CUN,EWR,CUN,85398016,51711488,85398016-51711488
GYD-DME,GYD,DME,119079936,67962112,119079936-67962112
DXB-GYD,DXB,GYD,68682240,119079936,68682240-119079936
LHR-BOS,LHR,BOS,201855488,34542336,201855488-34542336
LAS-SNA,LAS,SNA,201396992,319684864,201396992-319684864
BLR-DXB,BLR,DXB,34345472,68682240,34345472-68682240
KCH-KUL,KCH,KUL,184748032,185928704,184748032-185928704
KUL-DPS,KUL,DPS,185928704,68162304,185928704-68162304
ITM-BKK,ITM,BKK,152308992,34278144,152308992-34278144
RUH-IST,RUH,IST,303368192,152245248,303368192-152245248
JFK-MXP,JFK,MXP,168168192,219680768,168168192-219680768
XSP-SZB,XSP,SZB,403902464,320471552,403902464-320471552
CCU-DEL,CCU,DEL,50533632,67439616,50533632-67439616
SGN-KUL,SGN,KUL,319229440,185928704,319229440-185928704
GUM-ICN,GUM,ICN,118820096,151195136,118820096-151195136
HDY-DMK,HDY,DMK,134486272,67963648,134486272-67963648
IST-AMS,IST,AMS,152245248,17634048,152245248-17634048
MNL-STN,MNL,STN,219024384,320081408,219024384-320081408
LHR-BCN,LHR,BCN,201855488,33754624,201855488-33754624
DEL-EWR,DEL,EWR,67439616,85398016,67439616-85398016
JFK-DEL,JFK,DEL,168168192,67439616,168168192-67439616
LHR-GRU,LHR,GRU,201855488,118625536,201855488-118625536
BKK-DPS,BKK,DPS,34278144,68162304,34278144-68162304
HKT-SIN,HKT,SIN,134943744,319360512,134943744-319360512
DEL-YTZ,DEL,YTZ,67439616,420747776,67439616-420747776
ONT-LAS,ONT,LAS,252580864,201396992,252580864-201396992
MUC-BKK,MUC,BKK,219480832,34278144,219480832-34278144
BKK-DEL,BKK,DEL,34278144,67439616,34278144-67439616
SGN-NRT,SGN,NRT,319229440,236065792,319229440-236065792
JFK-SJC,JFK,SJC,168168192,319423232,168168192-319423232
LCY-BCN,LCY,BCN,201529600,33754624,201529600-33754624
LGW-AMS,LGW,AMS,201791232,17634048,201791232-17634048
LHR-BNE,LHR,BNE,201855488,34473216,201855488-34473216
GMP-NRT,GMP,NRT,118296576,236065792,118296576-236065792
LCY-DUB,LCY,DUB,201529600,68485632,201529600-68485632
DEL-MEL,DEL,MEL,67439616,218434560,67439616-218434560
LCY-ATH,LCY,ATH,201529600,18089984,201529600-18089984
TLV-AMS,TLV,AMS,336336384,17634048,336336384-17634048
KUL-HND,KUL,HND,185928704,135136256,185928704-135136256
SAW-BKK,SAW,BKK,318838528,34278144,318838528-34278144
LGW-ARN,LGW,ARN,201791232,17960448,201791232-17960448
MEX-LGA,MEX,LGA,218437632,201785600,218437632-201785600
LGW-MXP,LGW,MXP,201791232,219680768,201791232-219680768
DUB-JFK,DUB,JFK,68485632,168168192,68485632-168168192
SYD-NAN,SYD,NAN,320406528,234950144,320406528-234950144
OPO-MAD,OPO,MAD,252710656,218170368,252710656-218170368
FCO-LGA,FCO,LGA,100863744,201785600,100863744-201785600
MNL-GMP,MNL,GMP,219024384,118296576,219024384-118296576
RUH-CAI,RUH,CAI,303368192,50399488,303368192-50399488
MEL-DPS,MEL,DPS,218434560,68162304,218434560-68162304
ICN-ZRH,ICN,ZRH,151195136,437389312,151195136-437389312
ICN-CGK,ICN,CGK,151195136,50793216,151195136-50793216
EWR-BOM,EWR,BOM,85398016,34540800,85398016-34540800
MNL-CGK,MNL,CGK,219024384,50793216,219024384-50793216
BLR-BKK,BLR,BKK,34345472,34278144,34345472-34278144
CGK-HND,CGK,HND,50793216,135136256,50793216-135136256
NRT-CGK,NRT,CGK,236065792,50793216,236065792-50793216
LCY-AMS,LCY,AMS,201529600,17634048,201529600-17634048
XNB-BKK,XNB,BKK,403571200,34278144,403571200-34278144
HYD-LHR,HYD,LHR,135857152,201855488,135857152-201855488
EWR-SJC,EWR,SJC,85398016,319423232,85398016-319423232
MNL-HKG,MNL,HKG,219024384,134940416,219024384-134940416
LCY-CPH,LCY,CPH,201529600,51382272,201529600-51382272
ORY-LIS,ORY,LIS,252844288,201921280,252844288-201921280
XNB-DEL,XNB,DEL,403571200,67439616,403571200-67439616
AMS-SAW,AMS,SAW,17634048,318838528,17634048-318838528
LCY-TLV,LCY,TLV,201529600,336336384,201529600-336336384
MEL-BKK,MEL,BKK,218434560,34278144,218434560-34278144
LAX-SEA,LAX,SEA,201398272,319095040,201398272-319095040
LGW-BCN,LGW,BCN,201791232,33754624,201791232-33754624
CPH-LCY,CPH,LCY,51382272,201529600,51382272-201529600
AMD-BOM,AMD,BOM,17630208,34540800,17630208-34540800
DFW-LGA,DFW,LGA,67507968,201785600,67507968-201785600
SIN-DXB,SIN,DXB,319360512,68682240,319360512-68682240
EWR-HKG,EWR,HKG,85398016,134940416,85398016-134940416
ARN-LHR,ARN,LHR,17960448,201855488,17960448-201855488
TSA-LAX,TSA,LAX,336789760,201398272,336789760-201398272
CDG-LIS,CDG,LIS,50595584,201921280,50595584-201921280
SEA-LAX,SEA,LAX,319095040,201398272,319095040-201398272
LGA-CUN,LGA,CUN,201785600,51711488,201785600-51711488
BOM-DXB,BOM,DXB,34540800,68682240,34540800-68682240
CDG-JFK,CDG,JFK,50595584,168168192,50595584-168168192
BKK-GMP,BKK,GMP,34278144,118296576,34278144-118296576
EWR-LHR,EWR,LHR,85398016,201855488,85398016-201855488
NRT-BKK,NRT,BKK,236065792,34278144,236065792-34278144
KUL-BKK,KUL,BKK,185928704,34278144,185928704-34278144
DEL-DXB,DEL,DXB,67439616,68682240,67439616-68682240
MNL-SIN,MNL,SIN,219024384,319360512,219024384-319360512
JFK-LGW,JFK,LGW,168168192,201791232,168168192-201791232
ICN-CDG,ICN,CDG,151195136,50595584,151195136-50595584
CDG-EWR,CDG,EWR,50595584,85398016,50595584-85398016
VKO-HKT,VKO,HKT,369823488,134943744,369823488-134943744
MEL-SYD,MEL,SYD,218434560,320406528,218434560-320406528
HND-BKK,HND,BKK,135136256,34278144,135136256-34278144
DME-TAS,DME,TAS,67962112,335614720,67962112-335614720
SIN-DPS,SIN,DPS,319360512,68162304,319360512-68162304
ICN-DPS,ICN,DPS,151195136,68162304,151195136-68162304
STN-BKK,STN,BKK,320081408,34278144,320081408-34278144
LHR-MNL,LHR,MNL,201855488,219024384,201855488-219024384
SIN-KUL,SIN,KUL,319360512,185928704,319360512-185928704
BOM-LHR,BOM,LHR,34540800,201855488,34540800-201855488
EWR-MIA,EWR,MIA,85398016,218693888,85398016-218693888
DXB-LHR,DXB,LHR,68682240,201855488,68682240-201855488
HKG-LCY,HKG,LCY,134940416,201529600,134940416-201529600
MXP-JFK,MXP,JFK,219680768,168168192,219680768-168168192
DXB-BKK,DXB,BKK,68682240,34278144,68682240-34278144
CDG-LGA,CDG,LGA,50595584,201785600,50595584-201785600
MXP-EWR,MXP,EWR,219680768,85398016,219680768-85398016
LGA-MIA,LGA,MIA,201785600,218693888,201785600-218693888
BKK-LGW,BKK,LGW,34278144,201791232,34278144-201791232
BKK-UTH,BKK,UTH,34278144,353634304,34278144-353634304
LGW-EWR,LGW,EWR,201791232,85398016,201791232-85398016
SAW-AYT,SAW,AYT,318838528,18420736,318838528-18420736
BKK-KKC,BKK,KKC,34278144,185271040,34278144-185271040
DXB-STN,DXB,STN,68682240,320081408,68682240-320081408
SVO-BKK,SVO,BKK,320212736,34278144,320212736-34278144
SVO-XNB,SVO,XNB,320212736,403571200,320212736-403571200
SIN-SGN,SIN,SGN,319360512,319229440,319360512-319229440
LGW-BOM,LGW,BOM,201791232,34540800,201791232-34540800
DME-EVN,DME,EVN,67962112,85331456,67962112-85331456
YYZ-DEL,YYZ,DEL,421075456,67439616,421075456-67439616
DEL-LGW,DEL,LGW,67439616,201791232,67439616-201791232
MIA-EWR,MIA,EWR,218693888,85398016,218693888-85398016
SNA-SFO,SNA,SFO,319684864,319164160,319684864-319164160
DXB-LGW,DXB,LGW,68682240,201791232,68682240-201791232
SNA-EWR,SNA,EWR,319684864,85398016,319684864-85398016
HKT-DMK,HKT,DMK,134943744,67963648,134943744-67963648
SAW-DME,SAW,DME,318838528,67962112,318838528-67962112
EWR-FLL,EWR,FLL,85398016,101452800,85398016-101452800
SYD-MEL,SYD,MEL,320406528,218434560,320406528-218434560
